,date,volume.x,low_price,high_price,volume.y,earning_yield,operating_earning_yield,ps_ratio,dividend_yield,ev_revenues,price_to_book_value,ev_ebit,pe_ratio,peg_ratio
2815,06/03/2013,6.768M,88.69,90.46,6.768M,6%,7.92%,3.692,2.5%,3.958,1.782,13.53,16.65,NA
3692,05/31/2013,9.608M,88.32,91.68,9.608M,6.15%,8.11%,3.606,2.56%,3.873,1.74,13.24,16.26,NA
3681,05/30/2013,6.121M,90.07,91.67,6.121M,5.97%,7.88%,3.711,2.49%,3.977,1.791,13.6,16.74,NA
3656,05/29/2013,6.963M,88.39,91.03,6.963M,5.99%,7.9%,3.703,2.49%,3.97,1.787,13.57,16.7,NA
3645,05/28/2013,5.017M,88.48,89.68,5.017M,6.11%,8.06%,3.628,2.54%,3.895,1.751,13.32,16.37,NA
3598,05/24/2013,3.864M,85.79,87.5,3.864M,6.24%,8.23%,3.555,2.6%,3.822,1.716,13.07,16.04,NA
3583,05/23/2013,4.649M,85.28,86.88,4.649M,6.25%,8.25%,3.546,2.6%,3.813,1.711,13.03,15.99,NA
3569,05/22/2013,7.651M,86.61,89.55,7.651M,6.21%,8.2%,3.568,2.59%,3.835,1.722,13.11,16.09,NA
3556,05/21/2013,4.249M,89.23,90.57,4.249M,6.08%,8.03%,3.645,2.53%,3.911,1.759,13.37,16.44,NA
3541,05/20/2013,3.358M,88.9,89.92,3.358M,6.04%,7.97%,3.669,2.51%,3.936,1.771,13.46,16.55,NA
3484,05/17/2013,6.480M,86.97,89.06,6.480M,6.1%,8.05%,3.636,2.54%,3.903,1.755,13.34,16.4,NA
3469,05/16/2013,4.367M,86.55,88.18,4.367M,6.22%,8.21%,3.565,2.59%,3.832,1.721,13.1,16.08,NA
3455,05/15/2013,4.028M,86.26,87.38,4.028M,6.23%,8.21%,3.561,2.59%,3.828,1.719,13.09,16.06,NA
3442,05/14/2013,5.989M,86.59,87.7,5.989M,6.22%,8.21%,3.565,2.59%,3.832,1.721,13.1,16.08,NA
3427,05/13/2013,5.584M,85.23,86.84,5.584M,6.25%,8.25%,3.546,2.6%,3.813,1.711,13.03,15.99,NA
3384,05/10/2013,5.225M,84.32,85.55,5.225M,6.35%,8.38%,3.492,2.64%,3.76,1.686,12.85,15.75,NA
3777,05/09/2013,5.902M,84.31,85.7,5.902M,6.42%,8.47%,3.454,2.67%,3.722,1.667,12.72,15.58,NA
3763,05/08/2013,4.263M,85.23,86.26,4.263M,6.34%,8.37%,3.496,2.64%,3.764,1.688,12.87,15.77,NA
3750,05/07/2013,5.559M,85.03,86.28,5.559M,6.34%,8.37%,3.495,2.64%,3.763,1.687,12.86,15.77,NA
3735,05/06/2013,6.251M,85.47,87.3,6.251M,6.33%,8.36%,3.5,2.64%,3.767,1.689,12.88,15.79,NA
3670,05/03/2013,11.85M,85.28,88.24,11.85M,6.24%,8.23%,3.554,2.6%,3.822,1.716,13.06,16.03,NA
3527,05/02/2013,5.357M,83.37,84.86,5.357M,6.43%,8.48%,3.45,2.67%,3.717,1.665,12.71,15.56,NA
3369,05/01/2013,7.253M,83.5,85.23,7.253M,6.47%,8.53%,3.429,2.69%,3.696,1.655,12.64,15.47,NA
328,04/30/2013,7.833M,84.59,86.23,7.833M,6.34%,8.37%,3.496,2.64%,3.763,1.687,12.86,15.77,NA
300,04/29/2013,9.363M,82.5,84.45,9.363M,6.44%,8.5%,3.441,2.68%,3.708,1.661,12.68,15.52,NA
257,04/26/2013,5.650M,81.07,83.39,5.650M,6.53%,8.62%,3.394,2.72%,3.662,1.638,12.52,15.31,NA
242,04/25/2013,9.545M,79.19,84.34,9.545M,6.62%,8.73%,3.35,2.75%,3.618,1.617,12.37,15.11,NA
228,04/24/2013,7.390M,78.52,81.11,7.390M,6.71%,8.86%,3.303,2.79%,3.571,1.594,12.21,14.9,NA
215,04/23/2013,5.486M,77.19,79.19,5.486M,6.93%,9.14%,3.199,2.88%,3.468,1.544,11.85,14.43,NA
200,04/22/2013,3.994M,75.79,77.45,3.994M,7.03%,9.27%,3.155,2.92%,3.424,1.523,11.7,14.23,NA
147,04/19/2013,4.513M,75.93,77.32,4.513M,7.11%,9.38%,3.118,2.96%,3.386,1.505,11.58,14.06,NA
133,04/18/2013,4.785M,76.16,77.83,4.785M,7.08%,9.35%,3.13,2.95%,3.398,1.511,11.62,14.12,NA
120,04/17/2013,5.925M,76.23,78.01,5.925M,7.04%,9.28%,3.151,2.93%,3.419,1.521,11.69,14.21,NA
107,04/16/2013,4.481M,77.25,78.52,4.481M,6.94%,9.15%,3.196,2.89%,3.464,1.542,11.84,14.42,NA
92,04/15/2013,6.115M,77.39,79.43,6.115M,7.01%,9.26%,3.16,2.92%,3.429,1.526,11.72,14.26,NA
52,04/12/2013,7.832M,79.1,80.34,7.832M,6.79%,8.96%,3.266,2.83%,3.534,1.576,12.08,14.73,NA
37,04/11/2013,14.67M,80.1,81.29,14.67M,6.72%,8.87%,3.298,2.8%,3.566,1.592,12.19,14.87,NA
23,04/10/2013,4.953M,77.7,78.47,4.953M,6.96%,9.18%,3.186,2.9%,3.455,1.538,11.81,14.37,NA
411,04/09/2013,6.423M,77.19,78.73,6.423M,6.94%,9.16%,3.195,2.89%,3.463,1.542,11.84,14.41,NA
397,04/08/2013,10.52M,76.72,79.84,10.52M,6.98%,9.21%,3.177,2.9%,3.445,1.533,11.78,14.33,NA
356,04/05/2013,5.308M,77.52,78.66,5.308M,6.92%,9.13%,3.206,2.88%,3.474,1.547,11.88,14.46,NA
341,04/04/2013,7.352M,77.23,78.74,7.352M,6.92%,9.13%,3.204,2.88%,3.473,1.547,11.87,14.45,NA
314,04/03/2013,8.304M,76.83,78.35,8.304M,6.98%,9.21%,3.175,2.91%,3.443,1.532,11.77,14.32,NA
159,04/02/2013,8.577M,76.02,78.4,8.577M,7.02%,9.26%,3.16,2.92%,3.428,1.525,11.72,14.25,NA
11,04/01/2013,4.193M,74.73,75.98,4.193M,7.17%,9.46%,3.092,2.98%,3.361,1.492,11.49,13.95,NA
3213,03/28/2013,5.365M,74.65,75.53,5.365M,7.54%,10.31%,3.018,3.01%,3.302,1.514,10.61,13.26,NA
3199,03/27/2013,3.934M,74.36,75.16,3.934M,7.57%,10.34%,3.008,3.02%,3.292,1.509,10.58,13.22,NA
3186,03/26/2013,5.808M,74.06,75.24,5.808M,7.58%,10.36%,3.004,3.02%,3.288,1.507,10.57,13.2,NA
3172,03/25/2013,6.052M,74.62,76.02,6.052M,7.57%,10.35%,3.005,3.02%,3.289,1.507,10.57,13.2,NA
3130,03/22/2013,3.910M,75.21,75.92,3.910M,7.51%,10.27%,3.029,3%,3.313,1.519,10.65,13.31,NA
3115,03/21/2013,6.153M,74.76,75.83,6.153M,7.54%,10.31%,3.017,3.01%,3.301,1.513,10.61,13.26,NA
3102,03/20/2013,7.707M,75.3,77.6,7.707M,7.52%,10.28%,3.028,3%,3.312,1.518,10.64,13.3,NA
3074,03/19/2013,8.114M,76.07,78.6,8.114M,7.37%,10.08%,3.087,2.94%,3.371,1.548,10.83,13.56,NA
3059,03/18/2013,4.762M,78.9,79.89,4.762M,7.16%,9.79%,3.177,2.86%,3.46,1.593,11.12,13.96,NA
3016,03/15/2013,7.638M,79.91,81.07,7.638M,7.06%,9.66%,3.222,2.82%,3.505,1.616,11.26,14.16,NA
3001,03/14/2013,5.325M,80.03,81.24,5.325M,7%,9.57%,3.25,2.79%,3.533,1.63,11.35,14.28,NA
2987,03/13/2013,4.669M,79.81,80.54,4.669M,7.1%,9.7%,3.207,2.83%,3.49,1.608,11.22,14.09,NA
2974,03/12/2013,3.809M,79.64,80.81,3.809M,7.07%,9.67%,3.219,2.82%,3.501,1.614,11.25,14.14,NA
2959,03/11/2013,2.986M,78.6,79.93,2.986M,7.13%,9.75%,3.191,2.84%,3.474,1.6,11.16,14.02,NA
3341,03/08/2013,4.000M,78.5,79.18,4.000M,7.17%,9.81%,3.173,2.86%,3.456,1.591,11.11,13.94,NA
3326,03/07/2013,4.046M,78.28,78.86,4.046M,7.24%,9.89%,3.146,2.88%,3.428,1.577,11.02,13.82,NA
3312,03/06/2013,3.737M,78.05,79.24,3.737M,7.22%,9.87%,3.153,2.88%,3.436,1.581,11.04,13.85,NA
3299,03/05/2013,3.682M,78.59,79.45,3.682M,7.17%,9.8%,3.175,2.73%,3.457,1.592,11.11,13.95,NA
3284,03/04/2013,3.796M,77.63,79.12,3.796M,7.24%,9.9%,3.144,2.76%,3.426,1.576,11.01,13.81,NA
2931,03/01/2013,3.569M,77.9,79.48,3.569M,7.15%,9.78%,3.183,2.72%,3.465,1.596,11.14,13.98,NA
1558,02/28/2013,4.914M,78.58,79.19,4.914M,7.18%,9.81%,3.17,2.74%,3.453,1.59,11.1,13.93,NA
1544,02/27/2013,5.079M,78.15,79.26,5.079M,7.19%,9.83%,3.166,2.74%,3.449,1.588,11.08,13.91,NA
1530,02/26/2013,5.509M,77.8,79.44,5.509M,7.23%,9.88%,3.149,2.75%,3.432,1.579,11.03,13.84,NA
1516,02/25/2013,6.383M,78.76,82.06,6.383M,7.2%,9.84%,3.162,2.74%,3.445,1.586,11.07,13.89,NA
1472,02/22/2013,3.755M,79.96,80.58,3.755M,7.07%,9.66%,3.22,2.69%,3.502,1.614,11.25,14.14,NA
1458,02/21/2013,4.189M,79.7,80.85,4.189M,7.08%,9.69%,3.213,2.7%,3.495,1.611,11.23,14.11,NA
1448,02/20/2013,5.810M,80.98,82.65,5.810M,6.99%,9.56%,3.254,2.66%,3.536,1.632,11.37,14.3,NA
1421,02/19/2013,5.790M,81.63,82.78,5.790M,6.89%,9.42%,3.304,2.62%,3.586,1.657,11.52,14.52,NA
1375,02/15/2013,9.408M,81.17,83.69,9.408M,6.98%,9.54%,3.262,2.66%,3.544,1.636,11.39,14.33,NA
1363,02/14/2013,4.148M,82.93,83.75,4.148M,6.8%,9.3%,3.347,2.59%,3.628,1.678,11.66,14.7,NA
1349,02/13/2013,2.388M,83.04,83.82,2.388M,6.8%,9.29%,3.348,2.59%,3.629,1.679,11.66,14.71,NA
1335,02/12/2013,3.521M,82.97,83.93,3.521M,6.8%,9.3%,3.347,2.59%,3.629,1.679,11.66,14.71,NA
1321,02/11/2013,3.414M,83.54,84.65,3.414M,6.78%,9.27%,3.358,2.58%,3.64,1.684,11.7,14.75,NA
1647,02/08/2013,3.173M,84.51,84.99,3.173M,6.69%,9.14%,3.402,2.55%,3.684,1.706,11.84,14.95,NA
1633,02/07/2013,4.147M,84.17,85.12,4.147M,6.7%,9.16%,3.395,2.55%,3.676,1.702,11.82,14.92,NA
1619,02/06/2013,4.099M,83.94,85.1,4.099M,6.67%,9.11%,3.415,2.54%,3.696,1.712,11.88,15,NA
1605,02/05/2013,4.772M,84.23,85.12,4.772M,6.69%,9.14%,3.404,2.55%,3.686,1.707,11.85,14.96,NA
1591,02/04/2013,6.809M,83.93,84.91,6.809M,6.72%,9.18%,3.388,2.56%,3.67,1.699,11.79,14.89,NA
1291,02/01/2013,7.259M,83.61,84.9,7.259M,6.74%,9.22%,3.376,2.57%,3.658,1.693,11.76,14.83,NA
1978,01/31/2013,4.109M,94.5,96.51,4.109M,8.68%,13.83%,3.226,1.92%,3.305,2.063,7.41,11.52,0.2341
1963,01/30/2013,3.891M,94.1,95.86,3.891M,8.7%,13.85%,3.221,1.93%,3.3,2.06,7.399,11.5,0.2338
1935,01/29/2013,10.75M,74.58,76.57,10.75M,4.76%,8.24%,4.093,1.74%,4.122,2.098,11.91,20.99,NA
1922,01/28/2013,9.464M,89.88,93.22,9.464M,6.19%,10.05%,3.822,1.63%,3.903,2.252,10,16.16,0.2906
1879,01/25/2013,6.186M,95.12,99.6,6.186M,8.37%,13.33%,3.345,1.85%,3.424,2.14,7.677,11.94,0.2428
1864,01/24/2013,4.749M,95.47,97.34,4.749M,8.58%,13.67%,3.263,1.9%,3.342,2.087,7.493,11.65,0.2368
1849,01/23/2013,5.041M,95.78,98.25,5.041M,8.49%,13.52%,3.3,1.88%,3.379,2.11,7.575,11.78,0.2395
1835,01/22/2013,9.715M,72.63,74.97,9.715M,4.9%,8.48%,3.976,1.79%,4.005,2.038,11.57,20.39,NA
1778,01/18/2013,4.336M,94.1,96.88,4.336M,8.58%,13.67%,3.263,1.9%,3.342,2.087,7.494,11.65,0.2368
1766,01/17/2013,4.027M,94.81,96.15,4.027M,8.72%,13.89%,3.21,1.93%,3.29,2.054,7.376,11.46,0.233
1755,01/16/2013,8.254M,50.42,53.52,8.254M,16.22%,27.28%,1.711,2.36%,1.687,1.523,3.615,6.164,0.21
1744,01/15/2013,7.907M,75.16,77,7.907M,4.73%,8.18%,4.123,1.73%,4.152,2.114,12,21.15,NA
1733,01/14/2013,3.542M,91.97,93.5,3.542M,5.97%,9.69%,3.966,1.57%,4.046,2.336,10.37,16.76,0.3015
1690,01/11/2013,3.412M,92.09,93.53,3.412M,8.97%,14.28%,3.122,1.99%,3.202,1.997,7.179,11.15,0.2266
1675,01/10/2013,4.356M,93.5,95.37,4.356M,8.85%,14.09%,3.164,1.96%,3.244,2.024,7.273,11.3,0.2297
2063,01/09/2013,3.333M,91.72,93.46,3.333M,8.94%,14.23%,3.134,1.98%,3.213,2.004,7.204,11.19,0.2275
2049,01/08/2013,4.155M,78.21,80.37,4.155M,4.46%,7.71%,4.374,1.63%,4.402,2.242,12.72,22.43,NA
2036,01/07/2013,3.809M,91.68,93.2,3.809M,6.04%,9.8%,3.919,1.59%,4,2.309,10.25,16.57,0.298
1993,01/04/2013,3.758M,91.79,93.38,3.758M,8.94%,14.23%,3.133,1.98%,3.213,2.004,7.204,11.19,0.2274
1950,01/03/2013,4.350M,91.53,93.88,4.350M,8.97%,14.28%,3.124,1.99%,3.203,1.998,7.183,11.15,0.2267
1799,01/02/2013,6.796M,57.08,60.1,6.796M,13.97%,23.49%,1.986,2.03%,1.959,1.769,4.198,7.158,0.2439
1190,12/31/2012,4.445M,71.77,73.56,4.445M,7.72%,10.55%,2.95,2.94%,3.234,1.479,10.39,12.96,NA
1133,12/28/2012,3.290M,72.23,73.47,3.290M,10.04%,16.17%,2.431,2.99%,2.541,1.447,6.465,9.96,NA
1118,12/27/2012,2.846M,72.94,74.06,2.846M,9.84%,15.84%,2.482,2.93%,2.591,1.477,6.593,10.17,NA
1104,12/26/2012,2.617M,73.56,74.85,2.617M,9.84%,15.85%,2.48,2.93%,2.59,1.476,6.589,10.16,NA
1093,12/24/2012,1.550M,74.19,75.02,1.550M,9.76%,15.72%,2.5,2.9%,2.61,1.488,6.64,10.24,NA
1053,12/21/2012,6.939M,74.26,75.2,6.939M,9.69%,15.59%,2.52,2.88%,2.63,1.5,6.691,10.32,NA
1038,12/20/2012,4.218M,74.99,75.9,4.218M,9.58%,15.42%,2.549,2.85%,2.658,1.517,6.763,10.44,NA
1009,12/19/2012,5.068M,75.03,75.83,5.068M,9.67%,15.57%,2.524,2.88%,2.633,1.502,6.699,10.34,NA
995,12/18/2012,5.012M,73.36,75.43,5.012M,9.64%,15.53%,2.531,2.87%,2.641,1.507,6.718,10.37,NA
982,12/17/2012,3.827M,72.96,73.67,3.827M,9.89%,15.92%,2.468,2.94%,2.578,1.469,6.558,10.11,NA
939,12/14/2012,3.380M,72.14,73.21,3.380M,9.94%,16%,2.457,2.96%,2.566,1.463,6.53,10.06,NA
924,12/13/2012,4.727M,71.97,73.4,4.727M,10.03%,16.16%,2.433,2.99%,2.543,1.448,6.469,9.966,NA
909,12/12/2012,5.047M,72.7,73.78,5.047M,9.9%,15.95%,2.465,2.95%,2.574,1.467,6.55,10.1,NA
895,12/11/2012,5.092M,72.54,73.38,5.092M,9.96%,16.03%,2.452,2.96%,2.561,1.46,6.517,10.04,NA
882,12/10/2012,3.614M,71.82,72.47,3.614M,10.04%,16.17%,2.43,2.99%,2.54,1.447,6.462,9.956,NA
1247,12/07/2012,4.995M,71.73,72.47,4.995M,10.04%,16.17%,2.431,2.99%,2.541,1.447,6.464,9.958,NA
1232,12/06/2012,4.318M,70.43,71.52,4.318M,10.16%,16.35%,2.404,3.02%,2.513,1.431,6.394,9.846,NA
1217,12/05/2012,5.367M,70.26,71.94,5.367M,10.16%,16.36%,2.403,2.91%,2.512,1.43,6.392,9.842,NA
1203,12/04/2012,5.682M,69.73,70.79,5.682M,10.27%,16.54%,2.377,2.94%,2.487,1.415,6.326,9.736,NA
1162,12/03/2012,6.856M,70.41,72.83,6.856M,10.29%,16.56%,2.373,2.95%,2.483,1.413,6.318,9.722,NA
4100,11/30/2012,6.462M,91.95,95.06,6.462M,8.21%,12.78%,3.334,1.86%,3.369,2.111,7.814,12.18,0.2488
4070,11/29/2012,4.452M,86.94,89.4,4.452M,8.81%,13.71%,3.107,1.99%,3.144,1.968,7.291,11.35,0.2319
4056,11/28/2012,4.466M,85.36,87.53,4.466M,8.96%,13.95%,3.055,2.02%,3.091,1.935,7.169,11.16,0.228
4044,11/27/2012,3.070M,76.07,78.35,3.070M,3.83%,5.95%,4.157,1.67%,4.191,2.222,16.9,26.14,NA
4034,11/26/2012,1.391M,83.89,85.49,1.391M,6.22%,11.17%,3.788,1.69%,3.873,2.103,9.117,16.08,0.2129
4000,11/23/2012,4.845M,84.17,86.77,4.845M,9.25%,14.4%,2.958,2.09%,2.995,1.874,6.946,10.81,0.2208
3975,11/21/2012,4.266M,87.91,89.54,4.266M,8.79%,13.68%,3.114,1.99%,3.151,1.972,7.307,11.38,0.2324
3961,11/20/2012,6.446M,75.86,77.81,6.446M,3.88%,6.04%,4.095,1.69%,4.129,2.188,16.66,25.75,NA
3933,11/19/2012,4.194M,83.21,84.67,4.194M,6.18%,11.1%,3.811,1.68%,3.896,2.116,9.172,16.18,0.2142
3890,11/16/2012,5.300M,93.43,96.77,5.300M,8.32%,12.95%,3.29,1.88%,3.326,2.083,7.713,12.02,0.2455
3875,11/15/2012,5.284M,92.81,95.47,5.284M,8.22%,12.8%,3.33,1.86%,3.366,2.109,7.807,12.17,0.2486
3860,11/14/2012,3.560M,93.13,95.49,3.560M,8.3%,12.93%,3.297,1.88%,3.333,2.088,7.729,12.04,0.2461
3846,11/13/2012,3.563M,77.78,79.57,3.563M,3.77%,5.86%,4.221,1.64%,4.255,2.256,17.16,26.54,NA
3833,11/12/2012,5.876M,82.99,84.63,5.876M,6.23%,11.19%,3.779,1.69%,3.865,2.099,9.098,16.04,0.2125
4185,11/09/2012,6.680M,91.99,95.16,6.680M,8.41%,13.1%,3.253,1.9%,3.289,2.06,7.628,11.88,0.2428
4170,11/08/2012,6.980M,94.74,97.51,6.980M,8.02%,12.48%,3.414,1.81%,3.45,2.162,8.001,12.47,0.2548
4155,11/07/2012,4.616M,92.36,95.62,4.616M,8.24%,12.83%,3.321,1.86%,3.356,2.103,7.785,12.13,0.2478
4141,11/06/2012,3.460M,76.5,78.27,3.460M,3.84%,5.97%,4.141,1.68%,4.174,2.213,16.84,26.03,NA
4128,11/05/2012,3.675M,80.1,81.41,3.675M,6.47%,11.62%,3.64,1.76%,3.725,2.021,8.769,15.45,0.2046
3948,11/02/2012,4.249M,87.75,89.74,4.249M,8.71%,13.57%,3.141,1.97%,3.177,1.989,7.369,11.48,0.2344
3790,11/01/2012,7.759M,83.76,88.34,7.759M,8.97%,13.96%,3.052,2.03%,3.088,1.933,7.163,11.15,0.2278
4538,10/31/2012,6.518M,89.09,91.99,6.518M,8.74%,13.6%,3.133,1.97%,3.169,1.984,7.349,11.44,0.2338
4456,10/26/2012,4.534M,81.17,83.87,4.534M,9.31%,14.5%,2.939,2.1%,2.976,1.861,6.902,10.74,0.2194
4441,10/25/2012,4.280M,81.21,83.98,4.280M,9.54%,14.85%,2.87,2.16%,2.906,1.818,6.741,10.48,0.2142
4426,10/24/2012,3.330M,82.9,84.58,3.330M,9.3%,14.48%,2.943,2.1%,2.979,1.864,6.91,10.75,0.2196
4412,10/23/2012,4.799M,78.23,81.28,4.799M,3.78%,5.88%,4.206,1.65%,4.239,2.248,17.1,26.44,NA
4399,10/22/2012,4.320M,75.45,76.6,4.320M,6.85%,12.3%,3.439,1.86%,3.525,1.91,8.297,14.6,0.1933
4342,10/19/2012,4.599M,79.96,82.92,4.599M,9.67%,15.06%,2.83,2.19%,2.866,1.792,6.648,10.34,0.2112
4327,10/18/2012,6.441M,78.28,82.18,6.441M,9.56%,14.88%,2.864,2.16%,2.901,1.814,6.728,10.46,0.2138
4312,10/17/2012,4.537M,79.11,82.28,4.537M,9.82%,15.29%,2.787,2.22%,2.824,1.765,6.549,10.18,0.208
4298,10/16/2012,5.039M,77.81,79.62,5.039M,3.77%,5.86%,4.218,1.64%,4.252,2.254,17.15,26.52,NA
4285,10/15/2012,3.638M,80.79,82,3.638M,6.42%,11.52%,3.67,1.74%,3.756,2.038,8.842,15.58,0.2063
4242,10/12/2012,5.415M,77.7,80.04,5.415M,10.02%,15.61%,2.731,2.26%,2.768,1.729,6.419,9.975,0.2038
4227,10/11/2012,4.304M,76.93,79.14,4.304M,10.04%,15.63%,2.726,2.27%,2.764,1.727,6.409,9.961,0.2035
4212,10/10/2012,3.961M,75.72,78.37,3.961M,9.94%,15.48%,2.752,2.25%,2.789,1.743,6.469,10.06,0.2054
4624,10/09/2012,4.570M,75.8,78.17,4.570M,3.91%,6.07%,4.072,1.7%,4.106,2.176,16.56,25.6,NA
4611,10/08/2012,2.785M,78.65,79.99,2.785M,6.55%,11.77%,3.594,1.78%,3.68,1.996,8.663,15.26,0.2021
4568,10/05/2012,7.780M,70.98,73,7.780M,10.72%,16.7%,2.552,2.42%,2.59,1.616,6.006,9.324,0.1905
4553,10/04/2012,10.50M,63.66,70.53,10.50M,11.09%,17.26%,2.469,2.5%,2.507,1.564,5.814,9.021,0.1843
4511,10/03/2012,8.013M,65.55,68.81,8.013M,11.84%,18.44%,2.312,2.68%,2.349,1.464,5.449,8.445,0.1725
4355,10/02/2012,4.598M,70.73,72.33,4.598M,4.18%,6.5%,3.805,1.82%,3.84,2.034,15.49,23.93,NA
4199,10/01/2012,8.803M,75.68,78.65,8.803M,6.75%,12.12%,3.49,1.83%,3.576,1.938,8.418,14.81,0.1962
768,08/31/2012,3.505M,81.01,81.98,3.505M,9.49%,15.2%,2.735,2.45%,2.823,1.67,6.79,10.54,1.13
4984,08/31/2012,1.207M,13.48,13.74,1.207M,16.71%,35.79%,0.6144,3.67%,1.049,1.817,4.664,5.985,0.2568
753,08/30/2012,3.805M,80.8,82.41,3.805M,9.57%,15.34%,2.711,2.47%,2.8,1.656,6.734,10.45,1.12
4969,08/30/2012,3.518M,84.63,86.57,3.518M,6.31%,8.39%,3.452,2.74%,3.678,1.662,12.7,15.86,NA
723,08/29/2012,2.362M,82.64,84.14,2.362M,9.36%,14.99%,2.774,2.42%,2.863,1.694,6.885,10.69,1.146
4939,08/29/2012,1.624M,16.79,16.95,1.624M,11.05%,21.89%,1.491,3.02%,1.99,1.832,6.746,9.052,0.0435
709,08/28/2012,1.955M,83.36,84.34,1.955M,9.23%,14.78%,2.813,2.38%,2.902,1.718,6.979,10.84,1.163
4925,08/28/2012,1.587M,26.35,26.79,1.587M,9.08%,16.98%,2.091,2.04%,2.483,2.313,6.816,11.01,0.3734
696,08/27/2012,2.033M,83.42,84.84,2.033M,9.22%,14.77%,2.815,2.38%,2.903,1.719,6.983,10.84,1.163
4912,08/27/2012,7.110M,45.61,46.73,7.110M,13.05%,20.57%,2.218,1.67%,2.318,2.148,4.969,7.663,0.2131
653,08/24/2012,2.700M,82.68,84.57,2.700M,9.18%,14.7%,2.828,2.37%,2.916,1.727,7.014,10.89,1.169
4869,08/24/2012,7.944M,42.25,44.07,7.944M,13.65%,21.52%,2.12,1.74%,2.22,2.053,4.759,7.324,0.2037
638,08/23/2012,3.949M,83.67,84.87,3.949M,9.25%,14.81%,2.807,2.39%,2.896,1.714,6.964,10.81,1.16
4854,08/23/2012,1.423M,16.81,17.19,1.423M,11.08%,21.94%,1.488,3.06%,1.986,1.828,6.733,9.029,0.0434
623,08/22/2012,3.257M,83.87,85.33,3.257M,9.08%,14.55%,2.858,2.35%,2.946,1.745,7.085,11.01,1.181
4839,08/22/2012,832100,16.73,16.9,832100,11.08%,21.96%,1.486,3.06%,1.985,1.826,6.728,9.022,0.0433
609,08/21/2012,2.578M,84.19,85.84,2.578M,9.16%,14.67%,2.835,2.37%,2.924,1.731,7.031,10.92,1.172
4825,08/21/2012,1.885M,26.63,26.98,1.885M,9.06%,16.94%,2.096,2.04%,2.488,2.319,6.829,11.04,0.3743
596,08/20/2012,2.193M,84.72,85.35,2.193M,9.1%,14.58%,2.851,2.35%,2.939,1.741,7.069,10.98,1.178
4812,08/20/2012,5.900M,42.57,43.81,5.900M,13.64%,21.51%,2.121,1.74%,2.222,2.054,4.762,7.329,0.2038
539,08/17/2012,3.119M,84.96,86.07,3.119M,9.1%,14.57%,2.854,2.35%,2.942,1.743,7.076,10.99,1.179
4755,08/17/2012,1.615M,13.47,13.72,1.615M,4.45%,16.3%,1.502,3.68%,2.078,1.754,7.562,22.46,NA
524,08/16/2012,3.309M,85.13,85.88,3.309M,9.04%,14.48%,2.871,2.34%,2.96,1.754,7.119,11.06,1.187
4740,08/16/2012,1.797M,12.9,13.19,1.797M,17.47%,37.42%,0.5876,3.84%,1.022,1.738,4.544,5.724,0.2456
509,08/15/2012,4.906M,84.92,86.25,4.906M,9.06%,14.52%,2.864,2.34%,2.952,1.749,7.101,11.03,1.184
4725,08/15/2012,874400,11,11.27,874400,-0.95%,4.89%,1.129,4.53%,2.101,2.68,21.02,NA,NA
495,08/14/2012,2.763M,85.86,87.12,2.763M,8.98%,14.38%,2.892,2.32%,2.98,1.766,7.167,11.14,1.195
4711,08/14/2012,1.514M,11.03,11.69,1.514M,16.15%,45.59%,0.7575,4.38%,1.538,2.005,5.437,6.19,NA
482,08/13/2012,2.941M,85.9,87.38,2.941M,8.96%,14.35%,2.897,2.32%,2.985,1.769,7.18,11.16,1.197
4698,08/13/2012,1.516M,25.59,25.85,1.516M,9.39%,17.56%,2.022,2.11%,2.413,2.237,6.626,10.65,0.361
439,08/10/2012,2.374M,85.7,87.77,2.374M,8.83%,14.14%,2.94,2.28%,3.028,1.796,7.284,11.33,1.215
4655,08/10/2012,4.473M,66.64,68.3,4.473M,-4.19%,10.38%,2.927,4.34%,3.21,1.553,10.56,NA,NA
853,08/09/2012,2.645M,86.58,87.77,2.645M,8.91%,14.28%,2.912,2.3%,3,1.778,7.215,11.22,1.203
838,08/08/2012,3.314M,86.48,87.82,3.314M,8.85%,14.18%,2.932,2.29%,3.02,1.79,7.264,11.3,1.212
824,08/07/2012,3.810M,85.38,87.9,3.810M,8.89%,14.24%,2.919,2.3%,3.007,1.782,7.233,11.25,1.206
811,08/06/2012,3.191M,84.64,85.97,3.191M,9.14%,14.64%,2.839,2.36%,2.928,1.734,7.041,10.94,1.173
5027,08/06/2012,13.21M,63.46,68.63,13.21M,13.12%,22.59%,2.218,1.8%,2.097,2.063,4.446,7.62,0.1529
739,08/03/2012,3.207M,83.85,85.63,3.207M,9.11%,14.59%,2.849,2.35%,2.938,1.74,7.065,10.98,1.178
4955,08/03/2012,7.421M,73.99,75.5,7.421M,6.96%,12.5%,3.384,1.89%,3.47,1.879,8.167,14.36,0.1902
582,08/02/2012,4.444M,80.79,83.14,4.444M,9.42%,15.09%,2.755,2.43%,2.844,1.682,6.84,10.61,1.139
4798,08/02/2012,8.236M,42.52,43.49,8.236M,13.99%,22.05%,2.069,1.79%,2.169,2.004,4.65,7.149,0.1988
423,08/01/2012,3.261M,82.5,84.73,3.261M,9.19%,14.72%,2.825,2.37%,2.914,1.725,7.007,10.88,1.168
