Date,Open,High,Low,Close,Adj Close,PE Ratio,EV to EBIT,Operating_Earning_Yield,PEG Ratio,PS Ratio,Market Cap,Operating Yields,Price to book value,EV to revenues,Dividend_yield
1/25/2017,60.599998,61.630001,60.34,61.380001,58.781754,16.91,14.35,0.09,0.1281,3.904,97.75B,0.06,21.08,4.999,0.04
1/26/2017,61.16,61.900002,61.07,61.27,58.676407,16.88,14.33,0.09,0.1297,3.897,97.57B,0.06,21.05,4.992,0.04
1/27/2017,60,61.25,59.52,60,57.460167,16.53,14.1,0.1,0.1305,3.816,95.55B,0.06,20.61,4.913,0.04
1/30/2017,59.91,60.470001,59.27,60.43,57.871964,16.65,14.18,0.1,0.1284,3.843,96.24B,0.06,20.76,4.94,0.04
1/31/2017,60.009998,61.32,59.75,61.110001,58.523178,16.83,14.31,0.09,0.1287,3.886,97.40B,0.06,21.01,4.986,0.04
2/1/2017,61.07,61.099998,60.27,60.889999,58.312492,16.77,14.27,0,0.1353,3.872,97.05B,0.06,20.93,4.972,0.04
2/2/2017,60.650002,61.119999,60.48,60.889999,58.312492,16.77,14.27,0,0.1351,3.872,97.05B,0.06,20.93,4.972,0.04
2/3/2017,60.900002,61.060001,60.439999,60.669998,58.101803,16.71,14.23,0,0.1439,3.858,96.70B,0.06,20.86,4.958,0.04
2/6/2017,60.509998,60.970001,60.349998,60.650002,58.082649,16.71,14.23,0,0.147,3.857,96.67B,0.06,20.85,4.957,0.04
2/7/2017,60.650002,60.869999,60.400002,60.560001,57.996464,16.68,14.21,0.01,0.145,3.851,96.53B,0.06,20.82,4.952,0.04
2/8/2017,60.139999,61.02,60.049999,60.52,57.958149,16.67,14.21,0.01,0.1447,3.849,96.46B,0.06,20.81,4.949,0.04
2/9/2017,60.52,61,60.419998,60.84,58.264606,16.76,14.26,0,0.1444,3.869,96.97B,0.06,20.92,4.969,0.04
2/10/2017,60.849998,61,60.27,60.419998,57.862385,16.64,14.19,0.1,0.1414,3.842,96.30B,0.06,20.77,4.943,0.04
2/13/2017,60.580002,60.860001,60.43,60.509998,57.948574,16.67,14.21,0.1,0.1417,3.848,96.45B,0.06,20.8,4.948,0.04
2/14/2017,60.439999,60.98,60.150002,60.82,58.245453,16.75,14.26,0.09,0.139,3.868,96.94B,0.06,20.91,4.968,0.04
2/15/2017,60.919998,61.84,60.400002,61.650002,59.040321,16.98,14.41,0.09,0.1388,3.921,98.27B,0.06,21.2,5.019,0.04
2/16/2017,61.669998,61.91,60.810001,61.48,58.877518,16.94,14.38,0.09,0.1354,3.91,97.99B,0.06,21.14,5.009,0.04
2/17/2017,61.540001,62.080002,61.169998,61.77,59.155243,17.02,14.43,0.09,0.1383,3.928,98.46B,0.06,21.24,5.027,0.04
2/21/2017,61.84,62.110001,61.5,61.830002,59.2127,17.03,14.44,0.09,0.139,3.932,98.55B,0.06,21.26,5.03,0.04
2/22/2017,61.720001,61.950001,61.299999,61.360001,58.762596,16.9,14.36,0.09,0.1366,3.902,97.80B,0.06,21.1,5.001,0.04
2/23/2017,61.68,62.240002,61.450001,61.939999,59.318043,17.06,14.46,0.09,0.1415,3.939,98.73B,0.06,21.3,5.037,0.04
2/24/2017,61.919998,62.23,61.490002,62.09,59.461689,17.1,14.49,0.09,0.1397,3.949,98.97B,0.06,21.35,5.047,0.04
2/27/2017,62.02,62.369999,61.68,62.220001,59.586189,17.14,14.51,0.09,0.1359,3.957,99.17B,0.06,21.39,5.055,0.04
2/28/2017,62.110001,62.400002,61.689999,61.84,59.222279,17.04,14.44,0.09,0.1365,3.933,98.57B,0.06,21.26,5.031,0.04
3/1/2017,62.16,62.93,61.950001,62.830002,60.170372,17.31,14.62,0.09,0.1398,3.996,100.15B,0.06,21.6,5.093,0.04
3/2/2017,62.779999,63.599998,62.599998,63.25,60.57259,17.42,14.69,0.09,0.1416,4.022,100.82B,0.06,21.75,5.119,0.04
3/3/2017,63.110001,63.529999,62.830002,63.34,60.658779,17.45,14.71,0.09,0.1378,4.028,100.96B,0.06,21.78,5.124,0.04
3/6/2017,63,63.849998,62.880001,63.549999,60.85989,17.51,14.75,0.09,0.1399,4.042,101.29B,0.06,21.85,5.137,0.04
3/7/2017,63.139999,64.139999,62.970001,63.689999,60.993965,17.55,14.77,0.09,0.1414,4.05,101.52B,0.06,21.9,5.146,0.04
3/8/2017,63.75,64.68,63.5,64.139999,61.424919,17.67,14.85,0.09,0.1425,4.079,102.21B,0.06,22.05,5.173,0.04
3/9/2017,64.139999,64.720001,64.050003,64.5,61.769676,17.77,14.91,0.09,0.1424,4.102,102.79B,0.06,22.17,5.196,0.04
3/10/2017,65.300003,66.449997,65.110001,65.879997,63.091267,18.15,15.16,0.09,0.1417,4.19,104.98B,0.06,22.65,5.281,0.04
3/13/2017,65.870003,65.940002,65.300003,65.849998,63.062531,18.14,15.16,0.09,0.1425,4.188,104.94B,0.06,22.64,5.28,0.04
3/14/2017,65.879997,66.050003,65.599998,65.669998,62.890148,18.09,15.12,0.09,0.1429,4.176,104.65B,0.06,22.57,5.268,0.04
3/15/2017,65.699997,66.790001,65.68,66.550003,63.732903,18.33,15.28,0.09,0.1429,4.232,106.05B,0.05,22.88,5.323,0.04
3/16/2017,66.400002,66.449997,65.550003,65.900002,63.11042,18.15,15.16,0.09,0.1428,4.191,105.02B,0.06,22.65,5.283,0.04
3/17/2017,66.040001,66.089996,65.5,65.690002,62.909313,18.1,15.13,0.09,0.1412,4.178,104.68B,0.06,22.58,5.27,0.04
3/20/2017,65.779999,66.010002,65.559998,65.800003,63.014648,18.13,15.15,0.09,0.1417,4.185,104.86B,0.06,22.62,5.276,0.04
3/21/2017,65.959999,66,65.040001,65.349998,62.583691,18,15.07,0.09,0.1432,4.156,104.14B,0.06,22.46,5.248,0.04
3/22/2017,65.379997,65.730003,65.099998,65.519997,62.746498,18.05,15.1,0.09,0.1436,4.167,104.41B,0.06,22.52,5.259,0.04
3/23/2017,65.519997,66.07,65.360001,65.650002,62.870998,18.09,15.12,0.09,0.1431,4.175,104.62B,0.06,22.57,5.267,0.04
3/24/2017,65.510002,66.110001,65.32,65.620003,62.842266,18.08,15.11,0.09,0.1441,4.173,104.57B,0.06,22.56,5.265,0.04
3/27/2017,65.370003,66.279999,65.239998,66.099998,63.301949,18.21,15.2,0.09,0.1439,4.204,105.34B,0.05,22.72,5.295,0.04
3/28/2017,65.959999,66.209999,65.639999,65.980003,63.187035,18.18,15.18,0.09,1.052,4.196,105.14B,0.06,22.68,5.288,0.04
3/29/2017,65.949997,66.269997,65.68,65.769997,62.985916,18.12,15.14,0.09,1.067,4.183,104.81B,0.06,22.61,5.274,0.04
3/30/2017,65.760002,65.82,65.25,65.459999,62.689037,18.03,15.09,0.09,1.075,4.163,104.32B,0.06,22.5,5.255,0.04
3/31/2017,65.459999,65.519997,65.150002,65.160004,62.401745,16.88,14.45,0.09,1.075,4.039,103.69B,0.06,20.75,5.126,0.04
4/3/2017,65.239998,65.589996,64.879997,65.029999,62.277241,16.85,14.43,0.09,1.082,4.031,103.49B,0.06,20.71,5.118,0.04
4/4/2017,65.120003,65.300003,64.830002,65.110001,62.353851,16.87,14.44,0.09,1.08,4.036,103.61B,0.06,20.73,5.123,0.04
4/5/2017,65.230003,65.760002,64.860001,64.959999,62.210201,16.83,14.42,0.09,1.03,4.026,103.38B,0.06,20.68,5.114,0.04
4/6/2017,65.029999,65.190002,64.650002,65.080002,62.325127,16.86,14.44,0.09,1.033,4.034,103.57B,0.06,20.72,5.121,0.04
4/7/2017,65.059998,65.93,64.830002,65.540001,62.765659,16.98,14.52,0.09,1.045,4.062,104.30B,0.06,20.87,5.149,0.04
4/10/2017,65.5,65.779999,64.910004,64.970001,62.21978,16.83,14.42,0.09,1.042,4.027,103.39B,0.06,20.69,5.115,0.04
4/11/2017,64.43,64.43,63.32,64.18,62.074699,16.63,14.29,0.09,1.039,3.978,102.13B,0.06,20.43,5.067,0.04
4/12/2017,64.169998,64.410004,63.669998,64.370003,62.258472,16.68,14.32,0.09,1.034,3.99,102.44B,0.06,20.5,5.078,0.04
